aa	-3.7029
ae	-3.5861
ah	-4.0231
ao	-3.8936
aw	-4.5652
ax	-4.1901
ax-h	-6.8684
axr	-4.0883
ay	-3.6277
b	-5.6799
bcl	-4.5396
ch	-5.0654
d	-5.2569
dcl	-4.0307
dh	-4.8844
dx	-5.3460
eh	-3.6048
el	-4.8759
em	-7.0174
en	-5.4376
eng	-8.6601
epi	-5.6652
er	-4.0164
ey	-3.6657
f	-3.8977
g	-5.8694
gcl	-5.0658
h#	-2.1051
hh	-5.2283
hv	-5.3913
ih	-3.5194
ix	-3.3966
iy	-3.2387
jh	-5.1976
k	-4.0399
kcl	-3.8175
l	-3.7274
m	-3.9234
n	-3.4937
ng	-5.0458
nx	-6.3611
ow	-3.9743
oy	-5.3899
p	-4.5853
pau	-4.2097
pcl	-4.1121
q	-4.2150
r	-3.7570
s	-2.7766
sh	-4.2811
t	-4.0681
tcl	-3.6257
th	-5.1060
uh	-5.6888
uw	-5.3105
ux	-4.3860
v	-4.5375
w	-4.4338
y	-5.3403
z	-3.5960
zh	-6.8372
